postal_code_prefix_3,fulfillment_center,total_orders,downgraded_orders,two_day_orders,one_day_orders,other_orders,paid_shipping_orders
010,US-PA-MDT,29,24,3,2,0,1
011,US-PA-MDT,7,6,1,0,0,0
012,US-PA-MDT,9,8,0,1,0,0
013,US-PA-MDT,4,4,0,0,0,0
014,US-PA-MDT,12,10,1,1,0,0
015,US-PA-MDT,26,23,2,1,0,0
016,US-PA-MDT,10,8,1,1,0,1
017,US-PA-MDT,43,41,2,0,0,0
018,US-PA-MDT,55,48,4,3,0,2
019,US-PA-MDT,23,18,3,2,0,0
020,US-PA-MDT,31,28,3,0,0,0
021,US-PA-MDT,105,92,8,5,0,1
023,US-PA-MDT,18,16,0,2,0,2
024,US-PA-MDT,37,32,2,3,0,1
025,US-PA-MDT,5,5,0,0,0,0
026,US-PA-MDT,7,6,1,0,0,0
027,US-PA-MDT,13,12,0,1,0,0
028,US-PA-MDT,35,30,1,4,0,2
029,US-PA-MDT,14,12,1,1,0,0
030,US-PA-MDT,45,37,7,1,0,1
031,US-PA-MDT,12,5,5,2,0,1
032,US-PA-MDT,6,4,2,0,0,0
033,US-PA-MDT,7,6,1,0,0,0
034,US-PA-MDT,6,5,1,0,0,0
035,US-PA-MDT,3,3,0,0,0,0
037,US-PA-MDT,2,1,1,0,0,0
038,US-PA-MDT,28,24,4,0,0,1
040,US-PA-MDT,17,12,4,1,0,0
041,US-PA-MDT,15,15,0,0,0,0
042,US-PA-MDT,5,5,0,0,0,0
043,US-PA-MDT,4,3,1,0,0,0
044,US-PA-MDT,7,7,0,0,0,0
045,US-PA-MDT,1,1,0,0,0,0
046,US-PA-MDT,4,3,1,0,0,0
047,US-PA-MDT,1,1,0,0,0,0
048,US-PA-MDT,1,1,0,0,0,0
049,US-PA-MDT,6,6,0,0,0,0
050,US-PA-MDT,4,4,0,0,0,0
051,US-PA-MDT,3,2,0,1,0,0
052,US-PA-MDT,1,0,1,0,0,0
053,US-PA-MDT,1,1,0,0,0,0
054,US-PA-MDT,20,18,1,1,0,0
056,US-PA-MDT,2,2,0,0,0,0
057,US-PA-MDT,3,3,0,0,0,0
058,US-PA-MDT,2,2,0,0,0,0
060,US-PA-MDT,37,33,3,1,0,1
061,US-PA-MDT,16,13,1,2,0,1
062,US-PA-MDT,4,3,0,1,0,1
063,US-PA-MDT,8,6,1,1,0,0
064,US-PA-MDT,35,29,3,3,0,1
065,US-PA-MDT,13,10,3,0,0,0
066,US-PA-MDT,3,3,0,0,0,0
067,US-PA-MDT,10,10,0,0,0,0
068,US-PA-MDT,20,18,1,1,0,0
069,US-PA-MDT,9,9,0,0,0,0
070,US-PA-MDT,93,84,7,2,0,0
071,US-PA-MDT,13,9,0,4,0,3
072,US-PA-MDT,6,6,0,0,0,0
073,US-PA-MDT,45,41,0,4,0,2
074,US-PA-MDT,27,24,1,2,0,0
075,US-PA-MDT,7,5,1,1,0,1
076,US-PA-MDT,31,27,1,3,0,2
077,US-PA-MDT,19,18,0,1,0,0
078,US-PA-MDT,21,19,1,1,0,1
079,US-PA-MDT,22,19,2,1,0,1
080,US-PA-MDT,52,40,8,4,0,2
081,US-PA-MDT,4,4,0,0,0,0
082,US-PA-MDT,4,2,2,0,0,0
083,US-PA-MDT,7,5,2,0,0,0
084,US-PA-MDT,5,4,1,0,0,0
085,US-PA-MDT,32,29,1,2,0,1
086,US-PA-MDT,13,12,1,0,0,0
087,US-PA-MDT,14,13,1,0,0,0
088,US-PA-MDT,45,38,4,3,0,2
089,US-PA-MDT,7,6,0,1,0,1
100,US-PA-MDT,75,64,7,4,0,2
101,US-PA-MDT,4,4,0,0,0,0
102,US-PA-MDT,2,2,0,0,0,0
103,US-PA-MDT,8,8,0,0,0,0
104,US-PA-MDT,18,15,1,2,0,2
105,US-PA-MDT,29,28,1,0,0,0
106,US-PA-MDT,3,3,0,0,0,0
107,US-PA-MDT,9,7,1,1,0,1
108,US-PA-MDT,3,1,0,2,0,0
109,US-PA-MDT,17,14,3,0,0,0
110,US-PA-MDT,6,6,0,0,0,0
111,US-PA-MDT,21,21,0,0,0,0
112,US-PA-MDT,88,76,9,3,0,2
113,US-PA-MDT,47,41,3,3,0,1
114,US-PA-MDT,22,19,2,1,0,0
115,US-PA-MDT,16,13,3,0,0,0
116,US-PA-MDT,1,1,0,0,0,0
117,US-PA-MDT,53,44,6,3,0,1
118,US-PA-MDT,3,2,1,0,0,0
119,US-PA-MDT,7,6,0,1,0,0
120,US-PA-MDT,14,12,1,1,0,0
121,US-PA-MDT,8,7,0,1,0,1
122,US-PA-MDT,8,8,0,0,0,0
123,US-PA-MDT,6,6,0,0,0,0
124,US-PA-MDT,9,8,1,0,0,2
125,US-PA-MDT,20,18,1,1,0,1
126,US-PA-MDT,1,1,0,0,0,0
127,US-PA-MDT,2,1,1,0,0,0
128,US-PA-MDT,15,15,0,0,0,0
129,US-PA-MDT,1,0,1,0,0,0
130,US-PA-MDT,10,8,0,2,0,2
131,US-PA-MDT,2,2,0,0,0,0
132,US-PA-MDT,6,5,1,0,0,0
133,US-PA-MDT,3,3,0,0,0,0
134,US-PA-MDT,2,2,0,0,0,0
135,US-PA-MDT,2,2,0,0,0,0
136,US-PA-MDT,2,2,0,0,0,0
137,US-PA-MDT,5,4,1,0,0,0
138,US-PA-MDT,3,3,0,0,0,0
139,US-PA-MDT,3,2,0,1,0,0
140,US-PA-MDT,12,11,1,0,0,0
141,US-PA-MDT,2,1,0,1,0,1
142,US-PA-MDT,10,8,1,1,0,1
143,US-PA-MDT,1,1,0,0,0,0
144,US-PA-MDT,13,10,1,2,0,2
145,US-PA-MDT,14,13,1,0,0,0
146,US-PA-MDT,18,14,2,2,0,1
147,US-PA-MDT,2,1,1,0,0,0
148,US-PA-MDT,6,6,0,0,0,0
149,US-PA-MDT,3,3,0,0,0,0
150,US-PA-MDT,22,17,3,2,0,0
151,US-PA-MDT,29,20,4,5,0,5
152,US-PA-MDT,64,60,3,1,0,1
153,US-PA-MDT,5,5,0,0,0,0
154,US-PA-MDT,4,4,0,0,0,0
156,US-PA-MDT,5,3,0,2,0,2
157,US-PA-MDT,2,2,0,0,0,0
158,US-PA-MDT,1,1,0,0,0,0
159,US-PA-MDT,3,3,0,0,0,0
160,US-PA-MDT,15,15,0,0,0,0
161,US-PA-MDT,8,7,1,0,0,0
162,US-PA-MDT,1,0,1,0,0,0
163,US-PA-MDT,5,4,0,1,0,0
164,US-PA-MDT,2,2,0,0,0,0
165,US-PA-MDT,6,6,0,0,0,0
166,US-PA-MDT,7,6,0,1,0,1
168,US-PA-MDT,12,9,2,1,0,1
169,US-PA-MDT,2,2,0,0,0,0
170,US-PA-MDT,28,26,1,1,0,0
171,US-PA-MDT,10,6,2,2,0,2
172,US-PA-MDT,7,7,0,0,0,0
173,US-PA-MDT,15,14,0,1,0,1
174,US-PA-MDT,12,10,1,1,0,1
175,US-PA-MDT,16,13,2,1,0,0
176,US-PA-MDT,15,13,1,1,0,0
177,US-PA-MDT,2,2,0,0,0,0
178,US-PA-MDT,3,3,0,0,0,0
179,US-PA-MDT,1,1,0,0,0,0
180,US-PA-MDT,30,27,2,1,0,1
181,US-PA-MDT,6,5,1,0,0,0
182,US-PA-MDT,1,1,0,0,0,0
183,US-PA-MDT,9,9,0,0,0,0
184,US-PA-MDT,4,2,1,1,0,0
185,US-PA-MDT,4,3,1,0,0,0
186,US-PA-MDT,5,5,0,0,0,0
187,US-PA-MDT,5,4,1,0,0,0
188,US-PA-MDT,1,1,0,0,0,0
189,US-PA-MDT,21,20,0,1,0,0
190,US-PA-MDT,49,47,0,2,0,1
191,US-PA-MDT,72,64,2,6,0,6
193,US-PA-MDT,33,29,0,4,0,2
194,US-PA-MDT,41,35,4,2,0,1
195,US-PA-MDT,13,13,0,0,0,1
196,US-PA-MDT,5,5,0,0,0,0
197,US-PA-MDT,20,19,0,1,0,0
198,US-PA-MDT,24,19,4,1,0,0
199,US-PA-MDT,53,46,7,0,0,1
200,US-PA-MDT,77,69,3,5,0,3
201,US-PA-MDT,139,122,11,6,0,2
205,US-PA-MDT,1,1,0,0,0,0
206,US-PA-MDT,12,9,1,2,0,2
207,US-PA-MDT,57,50,4,3,0,0
208,US-PA-MDT,72,64,6,2,0,2
209,US-PA-MDT,19,17,0,2,0,1
210,US-PA-MDT,69,59,5,5,0,2
211,US-PA-MDT,33,27,4,2,0,2
212,US-PA-MDT,69,52,6,11,0,8
214,US-PA-MDT,7,6,1,0,0,0
215,US-PA-MDT,3,2,0,1,0,1
216,US-PA-MDT,3,3,0,0,0,1
217,US-PA-MDT,30,26,4,0,0,0
218,US-PA-MDT,2,2,0,0,0,0
219,US-PA-MDT,6,6,0,0,0,0
220,US-PA-MDT,56,48,3,5,0,2
221,US-PA-MDT,50,40,3,7,0,5
222,US-PA-MDT,44,42,2,0,0,0
223,US-PA-MDT,40,37,0,3,0,3
224,US-PA-MDT,19,18,1,0,0,0
225,US-PA-MDT,14,11,3,0,0,0
226,US-PA-MDT,15,13,0,2,0,0
227,US-PA-MDT,7,5,2,0,0,0
228,US-PA-MDT,2,1,1,0,0,0
229,US-PA-MDT,12,12,0,0,0,0
230,US-PA-MDT,5,3,1,1,0,1
231,US-PA-MDT,18,15,1,2,0,1
232,US-PA-MDT,36,35,1,0,0,0
233,US-PA-MDT,10,7,1,2,0,1
234,US-PA-MDT,13,7,3,3,0,1
235,US-PA-MDT,20,15,2,3,0,1
236,US-PA-MDT,17,17,0,0,0,0
237,US-PA-MDT,3,2,1,0,0,0
238,US-PA-MDT,2,2,0,0,0,0
240,US-PA-MDT,14,11,3,0,0,0
241,US-PA-MDT,4,3,0,1,0,1
243,US-PA-MDT,1,1,0,0,0,0
244,US-PA-MDT,6,4,2,0,0,0
245,US-PA-MDT,4,4,0,0,0,0
249,US-PA-MDT,1,1,0,0,0,0
252,US-PA-MDT,1,1,0,0,0,0
253,US-PA-MDT,1,1,0,0,0,0
254,US-PA-MDT,11,9,2,0,0,1
255,US-PA-MDT,2,0,0,2,0,2
256,US-PA-MDT,1,0,1,0,0,0
257,US-PA-MDT,3,2,0,1,0,1
261,US-PA-MDT,1,1,0,0,0,0
262,US-PA-MDT,1,1,0,0,0,0
263,US-PA-MDT,1,1,0,0,0,0
264,US-PA-MDT,1,1,0,0,0,0
265,US-PA-MDT,7,5,0,2,0,1
266,US-PA-MDT,1,1,0,0,0,0
270,US-PA-MDT,2,2,0,0,0,0
271,US-PA-MDT,5,4,0,1,0,0
272,US-PA-MDT,13,12,1,0,0,0
273,US-PA-MDT,9,6,3,0,0,0
274,US-PA-MDT,5,4,1,0,0,0
275,US-PA-MDT,62,57,3,2,0,0
276,US-PA-MDT,24,17,6,1,0,0
277,US-PA-MDT,14,11,2,1,0,0
278,US-PA-MDT,7,5,1,1,0,0
279,US-PA-MDT,2,2,0,0,0,0
280,US-PA-MDT,15,11,3,1,0,1
281,US-PA-MDT,13,10,3,0,0,0
282,US-PA-MDT,29,25,4,0,0,0
283,US-PA-MDT,15,6,2,7,0,4
284,US-PA-MDT,7,5,2,0,0,0
285,US-PA-MDT,16,13,2,1,0,1
286,US-PA-MDT,7,7,0,0,0,0
287,US-PA-MDT,21,19,2,0,0,0
288,US-PA-MDT,8,8,0,0,0,0
290,US-PA-MDT,12,8,1,3,0,3
291,US-PA-MDT,4,3,1,0,0,0
292,US-PA-MDT,7,4,1,2,0,2
293,US-PA-MDT,3,2,0,1,0,1
294,US-PA-MDT,30,26,3,1,0,1
295,US-PA-MDT,8,4,2,2,0,2
296,US-PA-MDT,21,15,5,1,0,0
297,US-PA-MDT,15,15,0,0,0,1
298,US-PA-MDT,6,6,0,0,0,2
299,US-PA-MDT,11,8,1,2,0,0
300,US-PA-MDT,87,69,10,8,0,5
301,US-PA-MDT,39,33,6,0,0,0
302,US-PA-MDT,22,19,0,3,0,2
303,US-PA-MDT,48,41,4,3,0,3
304,US-PA-MDT,1,0,1,0,0,0
305,US-PA-MDT,10,7,3,0,0,0
306,US-PA-MDT,11,10,0,1,0,0
307,US-PA-MDT,3,3,0,0,0,0
308,US-PA-MDT,6,6,0,0,0,0
309,US-PA-MDT,4,3,0,1,0,1
310,US-PA-MDT,8,7,1,0,0,0
312,US-PA-MDT,4,3,1,0,0,0
313,US-PA-MDT,7,7,0,0,0,0
314,US-PA-MDT,11,10,1,0,0,0
315,US-PA-MDT,9,5,1,3,0,2
317,US-PA-MDT,4,4,0,0,0,0
318,US-PA-MDT,2,1,0,1,0,1
319,US-PA-MDT,1,1,0,0,0,0
320,US-PA-MDT,13,12,0,1,0,1
321,US-PA-MDT,11,8,1,2,0,2
322,US-PA-MDT,37,28,4,5,0,3
323,US-PA-MDT,12,10,1,1,0,0
324,US-PA-MDT,8,8,0,0,0,2
325,US-PA-MDT,20,18,1,1,0,2
326,US-PA-MDT,26,21,2,3,0,1
327,US-PA-MDT,42,35,4,3,0,2
328,US-PA-MDT,55,51,2,2,0,3
329,US-PA-MDT,42,38,3,1,0,0
330,US-PA-MDT,37,27,7,3,0,2
331,US-PA-MDT,124,93,14,17,0,12
333,US-PA-MDT,36,27,4,5,0,4
334,US-PA-MDT,65,54,5,6,0,5
335,US-PA-MDT,33,25,3,5,0,3
336,US-PA-MDT,41,31,6,4,0,3
337,US-PA-MDT,35,28,2,5,0,2
338,US-PA-MDT,20,16,4,0,0,0
339,US-PA-MDT,31,24,2,5,0,5
341,US-PA-MDT,12,11,1,0,0,0
342,US-PA-MDT,40,38,1,1,0,2
344,US-PA-MDT,21,17,3,1,0,3
346,US-PA-MDT,21,16,2,3,0,2
347,US-PA-MDT,29,25,2,2,0,0
349,US-PA-MDT,13,11,1,1,0,0
350,US-PA-MDT,4,4,0,0,0,0
351,US-PA-MDT,1,1,0,0,0,0
352,US-PA-MDT,2,1,0,1,0,0
354,US-PA-MDT,3,2,0,1,0,0
355,US-PA-MDT,1,1,0,0,0,0
356,US-PA-MDT,3,1,0,2,0,1
357,US-PA-MDT,15,13,2,0,0,0
358,US-PA-MDT,11,9,1,1,0,0
359,US-PA-MDT,3,3,0,0,0,0
361,US-PA-MDT,5,5,0,0,0,0
362,US-PA-MDT,1,1,0,0,0,0
363,US-PA-MDT,2,2,0,0,0,0
364,US-PA-MDT,1,1,0,0,0,0
365,US-PA-MDT,5,5,0,0,0,0
366,US-PA-MDT,3,2,1,0,0,0
370,US-PA-MDT,16,15,0,1,0,1
371,US-PA-MDT,17,15,2,0,0,0
372,US-PA-MDT,27,22,3,2,0,2
373,US-PA-MDT,13,11,1,1,0,1
374,US-PA-MDT,3,3,0,0,0,0
376,US-PA-MDT,8,5,2,1,0,0
377,US-PA-MDT,6,5,1,0,0,0
378,US-PA-MDT,5,4,1,0,0,0
379,US-PA-MDT,16,15,1,0,0,0
380,US-PA-MDT,3,3,0,0,0,0
381,US-PA-MDT,11,8,2,1,0,1
382,US-PA-MDT,1,1,0,0,0,0
383,US-PA-MDT,4,3,0,1,0,1
385,US-PA-MDT,7,4,3,0,0,0
386,US-PA-MDT,1,0,1,0,0,0
390,US-PA-MDT,3,3,0,0,0,1
395,US-PA-MDT,7,0,6,1,0,1
396,US-PA-MDT,1,0,1,0,0,0
397,US-PA-MDT,1,0,1,0,0,0
400,US-PA-MDT,9,8,1,0,0,0
401,US-PA-MDT,2,1,1,0,0,0
402,US-PA-MDT,21,14,2,5,0,3
403,US-PA-MDT,5,4,0,1,0,1
404,US-PA-MDT,2,2,0,0,0,0
405,US-PA-MDT,10,9,1,0,0,0
406,US-PA-MDT,2,2,0,0,0,0
410,US-PA-MDT,9,6,2,1,0,0
411,US-PA-MDT,1,1,0,0,0,0
415,US-PA-MDT,2,2,0,0,0,0
417,US-PA-MDT,1,1,0,0,0,0
420,US-PA-MDT,2,1,0,1,0,1
421,US-PA-MDT,1,1,0,0,0,0
422,US-PA-MDT,3,1,1,1,0,0
423,US-PA-MDT,4,4,0,0,0,0
426,US-PA-MDT,1,1,0,0,0,0
427,US-PA-MDT,1,1,0,0,0,0
430,US-PA-MDT,27,20,5,2,0,0
