location,lng,lat,transportation_cost,sizing
"Amazon - Stockton, CA",-121.2908,37.9577,"$360,505.16",360.51
"Monty Replen - Mountain View, CA",-122.0812,37.3900,"$301,525.12",301.53
"Best Buy - Dinuba, CA",-119.3871,36.5433,"$225,941.72",225.94
"Amazon - Phoenix, AZ",-112.2252,33.4573,"$222,585.45",222.59
"Amazon - Goodyear, AZ",-112.3583,33.4353,"$208,826.99",208.83
"Amazon - Henderson, NV",-114.9817,36.0395,"$195,898.00",195.90
"Ingram Micro - Mira Loma, CA",-117.5159,33.9845,"$185,897.71",185.90
"ADT - Springville, UT",-111.6108,40.1652,"$172,811.35",172.81
"Amazon - Fontana, CA",-117.4350,34.0922,"$166,322.99",166.32
"Amazon - Las Vegas, NV",-115.1391,36.1716,"$136,340.31",136.34
"MFC Replen - Rancho Cucamonga, CA",-117.3600,34.0600,"$132,273.70",132.27
"D&H Distributing Co. - Santa Fe Springs, CA",-118.0853,33.9472,"$119,955.44",119.96
"Amazon - Rialto, CA",-117.3703,34.1064,"$90,500.89",90.50
"TD Synnex - Chino, CA",-117.6889,34.0122,"$75,237.73",75.24
"Stockmarket / Ferguson Enterprises - Perris, CA",-117.2286,33.7825,"$73,743.09",73.74
"T-mobile - Sparks, NV",-119.7527,39.5349,"$60,906.88",60.91